x,y,Sep,Oct,Nov,Dec,x,y,cases,x,y,April,May,jun,aug,sep,oct,nov,dec
30.92103269,-17.88570024,2140,690,56,2,30.92103269,-17.88570024,2536,30.92103269,-17.88570024,13,103,101,32,1,11,148,46
31.17458828,-17.72947752,134,39,2,0,31.17458828,-17.72947752,759,31.17458828,-17.72947752,0,4,7,3,0,4,829,231
30.99388325,-17.9370235,61,23,6,0,30.99388325,-17.9370235,541,30.99388325,-17.9370235,7,4,0,0,1,9,10,16
31.06568902,-18.0144793,42,14,0,0,31.06568902,-18.0144793,3710,31.06568902,-18.0144793,1,3,1,0,0,3,10,2
31.03406429,-17.86423903,317,660,56,2,31.03406429,-17.86423903,2138,31.03406429,-17.86423903,0,24,20,10,2,12,110,28
30.91163644,-17.93516886,40,8,2,0,30.91163644,-17.93516886,0,30.91163644,-17.93516886,0,1,0,0,0,0,0,0
30.99217231,-17.8899922,104,33,7,2,30.99217231,-17.8899922,824,30.99217231,-17.8899922,0,5,12,1,1,3,37,5
30.97537743,-17.85402402,38,6,6,0,30.97537743,-17.85402402,183,30.97537743,-17.85402402,0,4,1,0,0,0,1,1
30.94730997,-17.95218623,22,7,0,1,30.94730997,-17.95218623,0,30.94730997,-17.95218623,0,2,5,2,3,0,15,4
30.96272701,-17.83534272,62,9,3,0,30.96272701,-17.83534272,100,30.96272701,-17.83534272,1,0,0,0,0,2,9,5
30.94593693,-17.91460368,3731,530,145,21,30.94593693,-17.91460368,4583,30.94593693,-17.91460368,294,365,329,0,0,14,441,1199
31.15875848,-17.89539197,60,16,5,1,31.15875848,-17.89539197,824,31.15875848,-17.89539197,0,3,1,1,0,3,10,4
31.01218126,-17.95983076,15,1,0,0,31.01218126,-17.95983076,0,31.01218126,-17.95983076,0,0,0,0,1,1,0,1
31.09069823,-17.87871912,26,7,0,0,31.09069823,-17.87871912,355,31.09069823,-17.87871912,0,0,1,0,0,0,3,1
31.01153045,-17.83307891,16,6,0,0,31.01153045,-17.83307891,30,31.01153045,-17.83307891,0,5,1,1,0,0,4,1
31.05441916,-17.87104468,25,4,0,0,31.05441916,-17.87104468,0,31.05441916,-17.87104468,0,0,1,1,0,1,2,0
30.94607649,-17.78933335,29,3,2,1,30.94607649,-17.78933335,32,30.94607649,-17.78933335,0,3,2,0,2,0,13,3
31.05190932,-17.82014552,18,2,1,0,31.05190932,-17.82014552,0,31.05190932,-17.82014552,0,0,0,0,0,0,0,0
31.12276989,-17.73673757,19,4,0,0,31.12276989,-17.73673757,63,31.12276989,-17.73673757,0,4,0,0,0,1,1,3
31.05441972,-17.76586446,6,1,0,0,31.05441972,-17.76586446,32,31.05441972,-17.76586446,1,1,0,0,0,0,0,0
31.00453072,-17.79463333,19,5,3,0,31.00453072,-17.79463333,16,31.00453072,-17.79463333,0,0,0,0,2,0,2,0
30.97257057,-17.90979648,267,60,21,4,30.97257057,-17.90979648,0,30.97257057,-17.90979648,0,29,55,39,7,9,79,18
31.20732865,-17.83932175,17,3,1,1,31.20732865,-17.83932175,712,31.20732865,-17.83932175,0,0,0,0,0,0,0,0
30.99085237,-17.74529038,26,2,0,0,30.99085237,-17.74529038,32,30.99085237,-17.74529038,0,1,0,0,1,0,1,0
30.92103269,-17.88570024,59,14,3,0,30.92103269,-17.88570024,0,30.92103269,-17.88570024,0,3,6,3,1,0,14,2
31.09233504,-17.80371736,11,3,0,0,31.09233504,-17.80371736,12,31.09233504,-17.80371736,0,0,0,0,0,0,1,0
30.98609307,-17.96784592,44,16,5,0,30.98609307,-17.96784592,0,30.98609307,-17.96784592,1,4,1,0,0,0,11,0
31.12516813,-17.85226048,10,2,0,1,31.12516813,-17.85226048,0,31.12516813,-17.85226048,0,0,0,0,0,0,0,1
30.98475544,-17.7681525,11,2,0,0,30.98475544,-17.7681525,0,30.98475544,-17.7681525,0,1,1,0,1,0,2,0
31.22829798,-17.88456457,16,6,0,0,31.22829798,-17.88456457,0,31.22829798,-17.88456457,0,0,0,0,2,2,2,2
31.24064586,-17.83402642,21,2,1,0,31.24064586,-17.83402642,0,31.24064586,-17.83402642,0,2,1,1,0,0,3,0
31.10337525,-17.68204143,22,4,2,0,31.10337525,-17.68204143,0,31.10337525,-17.68204143,0,1,2,2,0,0,4,0
30.9315849,-17.8040124,18,5,2,0,30.9315849,-17.8040124,435,30.9315849,-17.8040124,1,3,1,2,1,0,28,23
30.9081,-17.79003,17,4,0,0,30.9081,-17.79003,0,30.9081,-17.79003,0,0,0,0,0,0,0,0
31.18735555,-17.84511583,14,4,0,0,31.18735555,-17.84511583,0,31.18735555,-17.84511583,0,0,2,3,0,0,5,0
31.03373007,-17.91333035,129,40,6,0,31.03373007,-17.91333035,0,31.03373007,-17.91333035,0,18,6,6,0,0,30,10
31.12341327,-17.81838723,14,1,0,0,31.12341327,-17.81838723,0,31.12341327,-17.81838723,0,1,0,0,0,0,4,0
31.06538509,-17.84233471,4,5,0,2,31.06538509,-17.84233471,0,31.06538509,-17.84233471,0,1,6,3,0,0,0,0
31.02828016,-17.80185989,7,4,0,0,31.02828016,-17.80185989,47,31.02828016,-17.80185989,0,1,0,0,0,0,1,0
31.07360498,-17.85409846,9,2,0,0,31.07360498,-17.85409846,0,31.07360498,-17.85409846,0,0,0,0,0,0,0,0
31.07630772,-17.82402235,8,1,0,0,31.07630772,-17.82402235,29,31.07630772,-17.82402235,0,1,1,1,0,0,6,0
30.97692437,-17.81708825,7,1,0,0,30.97692437,-17.81708825,0,30.97692437,-17.81708825,0,0,0,0,0,0,3,1
30.98613287,-17.86985378,3,1,1,0,30.98613287,-17.86985378,0,30.98613287,-17.86985378,1,0,1,0,0,0,0,0
31.0760367,-17.83680821,5,0,0,0,31.0760367,-17.83680821,8,31.0760367,-17.83680821,0,0,0,0,0,0,0,0
31.05614446,-17.84435351,3,2,0,0,31.05614446,-17.84435351,12,31.05614446,-17.84435351,0,0,0,0,0,0,0,0
31.08571975,-17.85795222,5,0,0,0,31.08571975,-17.85795222,0,31.08571975,-17.85795222,0,0,0,0,0,0,0,2
31.04775053,-17.96203193,4,0,0,0,31.04775053,-17.96203193,0,31.04775053,-17.96203193,0,0,0,0,0,0,0,0
30.96318989,-17.86394887,2,0,0,0,30.96318989,-17.86394887,0,30.96318989,-17.86394887,0,0,0,0,0,0,1,1
31.17458828,-17.72947752,1,1,0,0,31.17458828,-17.72947752,0,31.17458828,-17.72947752,0,0,0,0,0,0,1,0
31.0999554,-17.85634079,2,0,0,0,31.0999554,-17.85634079,0,31.0999554,-17.85634079,0,0,0,0,0,0,0,0
31.18462799,-17.8711344,0,2,0,0,31.18462799,-17.8711344,0,31.18462799,-17.8711344,0,0,0,0,0,0,0,0
31.1798304,-17.80889064,1,1,0,0,31.1798304,-17.80889064,0,31.1798304,-17.80889064,0,0,0,0,0,0,0,0
30.90783486,-17.80206446,2,0,0,0,30.90783486,-17.80206446,0,30.90783486,-17.80206446,0,0,0,0,0,0,1,0
30.97539626,-17.88075137,1,0,0,0,30.97539626,-17.88075137,0,30.97539626,-17.88075137,0,0,0,0,0,0,0,0
31.04901749,-17.85816124,0,1,0,0,31.04901749,-17.85816124,0,31.04901749,-17.85816124,0,0,0,0,0,0,0,0
31.15202327,-17.79299668,1,0,0,0,31.15202327,-17.79299668,0,31.15202327,-17.79299668,0,0,0,0,0,0,0,0
31.10257525,-17.93683229,1,0,0,0,31.10257525,-17.93683229,0,31.10257525,-17.93683229,0,0,0,0,0,0,0,0
31.04966455,-17.83383714,1,0,0,0,31.04966455,-17.83383714,0,31.04966455,-17.83383714,0,0,0,0,0,0,3,0
31.07846636,-17.78831897,1,0,0,0,31.07846636,-17.78831897,0,31.07846636,-17.78831897,0,0,0,0,0,0,1,0
31.00854316,-17.98552418,33,8,4,0,31.00854316,-17.98552418,0,31.00854316,-17.98552418,0,0,0,2,4,5,4,0
31.0172945,-17.86085311,11,2,0,1,31.0172945,-17.86085311,42,31.0172945,-17.86085311,0,0,0,0,2,4,5,4
30.96507325,-17.77121035,4,0,0,2,30.96507325,-17.77121035,0,30.96507325,-17.77121035,0,0,0,0,0,0,0,0
30.98955,-17.85523,0,0,0,0,30.98955,-17.85523,61,30.98955,-17.85523,0,0,0,0,0,0,0,0
31.0306,-17.8125,0,0,0,0,31.0306,-17.8125,21,31.0306,-17.8125,0,0,0,0,0,0,0,0
31.11999645,-17.78792185,0,0,0,0,31.11999645,-17.78792185,0,31.11999645,-17.78792185,0,1,0,0,0,0,0,0
31.13855052,-17.77796523,0,0,0,0,31.13855052,-17.77796523,0,31.13855052,-17.77796523,0,0,0,0,0,1,0,0
