x,y,pop_2023,pop_2018,pop_2008
31.06568902,-18.0144793,404000,354427,321782
31.17458828,-17.72947752,208107,163863,109137
31.15875848,-17.89539197,206350,161840,48713
30.92103269,-17.88570024,156663,123356,109545
30.94593693,-17.91460368,146916,115681,100345
30.99217231,-17.8899922,123563,97293,48713
31.03406429,-17.86423903,104131,92219,71993
30.97257057,-17.90979648,94416,74343,65321
31.22829798,-17.88456457,94084,74082,58928
30.9315849,-17.8040124,90228,71046,43302
30.96272701,-17.83534272,85522,67340,57341
31.03373007,-17.91333035,82644,65074,7347
31.04966455,-17.83383714,75312,59300,12609
30.99085237,-17.74529038,72210,56858,5368
30.92103269,-17.88570024,71669,56432,52921
30.99388325,-17.9370235,62887,49517,5994
31.12341327,-17.81838723,62060,48866,14661
31.00453072,-17.79463333,60215,47413,6065
31.10337525,-17.68204143,58594,46137,37409
31.09069823,-17.87871912,57648,45392,28959
31.18735555,-17.84511583,57082,44946,32656
31.10257525,-17.93683229,55488,43691,35786
31.00854316,-17.98552418,55066,43359,35674
30.94607649,-17.78933335,50244,39562,27398
30.90783486,-17.80206446,45945,36177,25672
31.12276989,-17.73673757,42370,33362,14746
30.98609307,-17.96784592,41044,32318,27536
30.9081,-17.79003,39794,31334,29635
31.0172945,-17.86085311,39434,31050,10385
31.02828016,-17.80185989,37955,29885,10613
31.17458828,-17.72947752,34248,26967,23567
31.05441972,-17.76586446,34130,26874,5368
31.20732865,-17.83932175,31201,24568,21567
30.96507325,-17.77121035,30232,23805,19875
30.97537743,-17.85402402,29880,23528,20296
31.05441916,-17.87104468,28483,22428,13357
31.01153045,-17.83307891,28404,22365,10353
31.09233504,-17.80371736,26859,21149,6545
30.91163644,-17.93516886,23316,18360,9765
31.15202327,-17.79299668,20456,16107,12890
31.07630772,-17.82402235,20156,15871,6991
30.97692437,-17.81708825,16660,13118,11637
31.07360498,-17.85409846,15328,12069,10234
31.1798304,-17.80889064,14968,11786,96372
31.01218126,-17.95983076,14378,11321,92782
31.0760367,-17.83680821,13856,10910,83623
31.24064586,-17.83402642,13545,10665,75453
31.11999645,-17.78792185,12544,9877,8543
31.04775053,-17.96203193,11088,8731,7432
31.06538509,-17.84233471,10692,8419,6432
30.98613287,-17.86985378,10120,7969,5788
31.07846636,-17.78831897,9904,7799,6553
30.98475544,-17.7681525,9672,7616,6325
30.94730997,-17.95218623,7510,5914,4356
31.13855052,-17.77796523,6388,5030,4321
31.05614446,-17.84435351,5748,4526,3547
31.0999554,-17.85634079,5112,4025,3272
31.10257525,-17.93683229,5378,4212,3689
30.97539626,-17.88075137,5271,4421,3652
31.04901749,-17.85816124,5093,4231,3245
31.08571975,-17.85795222,5368,4278,3564
31.12516813,-17.85226048,5100,4261,3672
31.05190932,-17.82014552,5878,4193,3281
31.18462799,-17.8711344,5123,4123,3123
